1,"Manuel Turpaleon","Alio4969",2019-09-22,-24699,-42237,"Se fugó por la vereda en la tarde con otros perros",false,1
2,"María Ortiz","Alñoid8452",2019-08-08,-32483,23406,"Se perdió por la vereda en la mañana con una niña",false,1
3,"Manuel Ramírez","Alñoid4880",2019-02-04,28180,8729,"Se marchó por la pista en la noche solo",false,1
4,"Pedro Vasquez","Alñoid9767",2021-10-10,-5357,43341,"Se perdió por la plaza en la mañana con otros perros",false,1
5,"Ana Ortiz","Alpy1793",2021-08-22,-1384,48579,"Se perdió por la pista en la tarde solo",false,1
6,"María Claros","Ajui9339",2021-06-19,-1904,-2674,"La última vez que lo ví fue por la playa en la madrugada con un niño",false,1
7,"Pedro Vasquez","Alñoid3931",2021-07-05,41921,31043,"Se perdió por la villa en la madrugada con una niña",false,1
8,"Marco Zaenz","Ajui104",2019-07-10,24749,-31856,"Se marchó por la escuela x en la tarde con una niña",false,1
9,"Mirto Turpaleon","Anlop3598",2018-02-22,-16903,29619,"Se fugó por la escuela x en la mañana solo",false,1
10,"Mirto Vasquez","Apou1083",2019-01-16,46049,-55628,"Se fugó por la escuela x en la madrugada con un niño",false,1
11,"Manuel Quispe","Alio6009",2020-09-05,47445,18165,"Se marchó por el mercado de huacho en la tarde con una niña",false,1
12,"Ana Turpaleon","Alpy7248",2019-06-05,-61577,-18334,"Se marchó por la escuela x en la mañana solo",false,1
13,"Mirto Vasquez","Apou3716",2018-03-10,-18131,-5974,"Se fugó por la vereda en la madrugada solo",false,1
14,"Marco Quispe","Lacy178",2019-05-02,12119,8941,"Se marchó por el mercado de lima en la madrugada solo",false,1
15,"Juan Quispe","Anlop1061",2019-04-23,-22242,-39968,"Se perdió por el mercado de lima en la tarde con un niño",false,1
16,"Ruperto Quispe","Aloiy4418",2019-06-06,-40007,-12412,"La última vez que lo ví fue por la pista en la tarde con un niño",false,1
17,"Ruperto Ortiz","Luna4984",2021-01-17,20445,-3976,"Se perdió por la plaza en la tarde con una niña",false,1
18,"Ruperto Ramírez","Alio492",2018-08-01,-33802,16902,"Se fugó por la villa en la mañana solo",false,1
19,"Marco Ortiz","Alñoid4623",2021-05-25,-14693,48575,"Se fugó por la villa en la mañana solo",false,1
20,"Mirto Turpaleon","Alpy819",2021-07-15,33998,-38117,"Se marchó por la villa en la mañana con un niño",false,1
21,"Pedro Claros","Luna7776",2018-10-22,14048,-40838,"Se perdió por el mercado de lima en la noche solo",false,1
22,"Ana Zaenz","Lacy4075",2018-02-22,23414,-28462,"No se por donde se me perdió exactamente pero creo que fue por la playa en la mañana con una niña",false,1
23,"Mirto Zaenz","Alñoid2275",2020-04-01,-31323,-4705,"Se fugó por el mercado de lima en la tarde con otros perros",false,1
24,"Juan Quispe","Lacy7471",2020-06-08,-16726,31582,"Se fugó por la vereda en la madrugada solo",false,1
25,"María Solis","Luna1575",2021-10-01,-68520,4656,"La última vez que lo ví fue por la villa en la madrugada con otros perros",false,1
26,"Ana Quispe","Anlop3753",2019-01-05,-11597,44750,"Se perdió por el mercado de huacho en la madrugada con una niña",false,1
27,"Pedro Zaenz","Apou7753",2018-07-24,47683,27072,"Se perdió por la plaza en la noche con un niño",false,1
28,"Pedro Claros","Apou85",2020-11-05,-49669,8459,"La última vez que lo ví fue por la villa en la tarde con una niña",false,1
29,"Ruperto Solis","Anlop182",2020-07-19,48532,325,"Se perdió por la escuela x en la madrugada con una niña",false,1
30,"Manuel Ortiz","Apou2320",2021-12-24,37560,11710,"Se marchó por la plaza en la noche con otros perros",false,1
31,"Juan Zaenz","Alpy2214",2020-06-08,-44186,20295,"Se fue por la plaza en la tarde con otros perros",false,1
32,"Marco Zaenz","Apou9114",2020-05-18,27007,13372,"Se perdió por el mercado de lima en la mañana solo",false,1
33,"Manuel Turpaleon","Luna1485",2021-02-14,8097,-60476,"Se fue por la villa en la madrugada con una niña",false,1
34,"Manuel Quispe","Luna2857",2019-10-01,-40887,39419,"Se fugó por el mercado de huacho en la tarde con otros perros",false,1
35,"Manuel Quispe","Apou6303",2021-04-12,-67403,-3328,"Se fugó por la vereda en la noche solo",false,1
36,"Ruperto Ortiz","Alpy6301",2020-02-10,41880,-21344,"Se perdió por la plaza en la noche con un niño",false,1
37,"Ana Ortiz","Lacy2664",2021-08-03,27092,-52934,"Se fue por el mercado de lima en la tarde con un niño",false,1
38,"Ana Solis","Alñoid5971",2021-03-01,-20166,30682,"La última vez que lo ví fue por la vereda en la noche con otros perros",false,1
39,"Pedro Quispe","Anlop4886",2018-01-08,40686,46062,"No se por donde se me perdió exactamente pero creo que fue por el mercado de huacho en la noche con un niño",false,1
40,"Ruperto Vasquez","Luna2859",2020-12-01,-21819,-3609,"Se fue por la plaza en la tarde con un niño",false,1
41,"Ana Quispe","Ajui693",2021-08-23,-38054,-4502,"Se perdió por la playa en la noche solo",false,1
42,"Manuel Turpaleon","Luna2555",2018-07-22,-25289,24856,"La última vez que lo ví fue por la escuela x en la madrugada con otros perros",false,1
